regdno,name
17B01A1201,1202
17B01A1202,1202
17B01A1203,1202
17B01A1204,1202
17B01A1205,1202
17B01A1206,1202
17B01A1207,1202
17B01A1208,1202
17B01A1209,1202
17B01A1210,1202
17B01A1211,1202
17B01A1212,1202
17B01A1213,1202
17B01A1214,1202
17B01A1215,1202
17B01A1216,1207
17B01A1217,1207
17B01A1218,1207
17B01A1219,1207
17B01A1220,1207
17B01A1221,1207
17B01A1222,1207
17B01A1223,1207
17B01A1224,1207
17B01A1225,1207
17B01A1226,1207
17B01A1227,1207
17B01A1228,1207
17B01A1229,1207
17B01A1230,1207
17B01A1231,1210
17B01A1232,1210
17B01A1233,1210
17B01A1234,1210
17B01A1235,1210
17B01A1236,1210
17B01A1237,1210
17B01A1238,1210
17B01A1239,1210
17B01A1240,1210
17B01A1241,1210
17B01A1242,1210
17B01A1243,1210
17B01A1244,1210
17B01A1245,1210
17B01A1246,1218
17B01A1247,1218
17B01A1248,1218
17B01A1249,1218
17B01A1250,1218
17B01A1251,1218
17B01A1252,1218
17B01A1253,1218
17B01A1254,1218
17B01A1255,1218
17B01A1256,1218
17B01A1257,1218
17B01A1258,1218
17B01A1259,1218
17B01A1260,1218
17B01A1261,1223
17B01A1262,1223
17B01A1263,1223
17B01A1264,1223
17B01A1265,1223
17B01A1266,1223
17B01A1267,1223
17B01A1268,1223
17B01A1269,1223
17B01A1270,1223
17B01A1271,1223
17B01A1272,1223
17B01A1273,1223
17B01A1274,1223
17B01A1275,1223
17B01A1276,1224
17B01A1277,1224
17B01A1278,1224
17B01A1279,1224
17B01A1280,1224
17B01A1281,1224
17B01A1282,1224
17B01A1283,1224
17B01A1284,1224
17B01A1285,1224
17B01A1286,1224
17B01A1287,1224
17B01A1288,1224
17B01A1289,1224
17B01A1290,1224
17B01A1291,1237
17B01A1292,1237
17B01A1293,1237
17B01A1294,1237
17B01A1295,1237
17B01A1296,1237
17B01A1297,1237
17B01A1298,1237
17B01A1299,1237
17B01A12A0,1237
17B01A12A1,1237
17B01A12A2,1237
17B01A12A3,1237
17B01A12A4,1237
17B01A12A5,1237
17B01A12A6,1236
17B01A12A7,1236
17B01A12A8,1236
17B01A12A9,1236
17B01A12B0,1236
17B01A12B1,1236
17B01A12B2,1236
17B01A12B3,1236
17B01A12B4,1236
17B01A12B5,1236
17B01A12B6,1236
17B01A12B7,1236
17B01A12B8,1236
17B01A12B9,1236
17B01A12C0,1236
